caseId,environment,profile,surface,sourceKappa,requestedKappa,relativeOffset
1,1,constant,rigid,0.0001,0.0001,0
2,1,constant,rigid,0.0001,0.0001001,0.001
3,1,constant,rigid,0.0001,0.000101,0.01
4,1,constant,rigid,0.0001,0.00011,0.1
5,1,constant,rigid,0.001,0.001,0
6,1,constant,rigid,0.001,0.001001,0.001
7,1,constant,rigid,0.001,0.00101,0.01
8,1,constant,rigid,0.001,0.0011,0.1
9,1,constant,rigid,0.01,0.01,0
10,1,constant,rigid,0.01,0.01001,0.001
11,1,constant,rigid,0.01,0.0101,0.01
12,1,constant,rigid,0.01,0.011,0.1
13,2,constant,free,0.0001,0.0001,0
14,2,constant,free,0.0001,0.0001001,0.001
15,2,constant,free,0.0001,0.000101,0.01
16,2,constant,free,0.0001,0.00011,0.1
17,2,constant,free,0.001,0.001,0
18,2,constant,free,0.001,0.001001,0.001
19,2,constant,free,0.001,0.00101,0.01
20,2,constant,free,0.001,0.0011,0.1
21,2,constant,free,0.01,0.01,0
22,2,constant,free,0.01,0.01001,0.001
23,2,constant,free,0.01,0.0101,0.01
24,2,constant,free,0.01,0.011,0.1
25,3,exponential,rigid,0.0001,0.0001,0
26,3,exponential,rigid,0.0001,0.0001001,0.001
27,3,exponential,rigid,0.0001,0.000101,0.01
28,3,exponential,rigid,0.0001,0.00011,0.1
29,3,exponential,rigid,0.001,0.001,0
30,3,exponential,rigid,0.001,0.001001,0.001
31,3,exponential,rigid,0.001,0.00101,0.01
32,3,exponential,rigid,0.001,0.0011,0.1
33,3,exponential,rigid,0.01,0.01,0
34,3,exponential,rigid,0.01,0.01001,0.001
35,3,exponential,rigid,0.01,0.0101,0.01
36,3,exponential,rigid,0.01,0.011,0.1
37,4,exponential,free,0.0001,0.0001,0
38,4,exponential,free,0.0001,0.0001001,0.001
39,4,exponential,free,0.0001,0.000101,0.01
40,4,exponential,free,0.0001,0.00011,0.1
41,4,exponential,free,0.001,0.001,0
42,4,exponential,free,0.001,0.001001,0.001
43,4,exponential,free,0.001,0.00101,0.01
44,4,exponential,free,0.001,0.0011,0.1
45,4,exponential,free,0.01,0.01,0
46,4,exponential,free,0.01,0.01001,0.001
47,4,exponential,free,0.01,0.0101,0.01
48,4,exponential,free,0.01,0.011,0.1
49,5,pycnocline,rigid,0.0001,0.0001,0
50,5,pycnocline,rigid,0.0001,0.0001001,0.001
51,5,pycnocline,rigid,0.0001,0.000101,0.01
52,5,pycnocline,rigid,0.0001,0.00011,0.1
53,5,pycnocline,rigid,0.001,0.001,0
54,5,pycnocline,rigid,0.001,0.001001,0.001
55,5,pycnocline,rigid,0.001,0.00101,0.01
56,5,pycnocline,rigid,0.001,0.0011,0.1
57,5,pycnocline,rigid,0.01,0.01,0
58,5,pycnocline,rigid,0.01,0.01001,0.001
59,5,pycnocline,rigid,0.01,0.0101,0.01
60,5,pycnocline,rigid,0.01,0.011,0.1
61,6,pycnocline,free,0.0001,0.0001,0
62,6,pycnocline,free,0.0001,0.0001001,0.001
63,6,pycnocline,free,0.0001,0.000101,0.01
64,6,pycnocline,free,0.0001,0.00011,0.1
65,6,pycnocline,free,0.001,0.001,0
66,6,pycnocline,free,0.001,0.001001,0.001
67,6,pycnocline,free,0.001,0.00101,0.01
68,6,pycnocline,free,0.001,0.0011,0.1
69,6,pycnocline,free,0.01,0.01,0
70,6,pycnocline,free,0.01,0.01001,0.001
71,6,pycnocline,free,0.01,0.0101,0.01
72,6,pycnocline,free,0.01,0.011,0.1
73,7,doubleSharp,rigid,0.0001,0.0001,0
74,7,doubleSharp,rigid,0.0001,0.0001001,0.001
75,7,doubleSharp,rigid,0.0001,0.000101,0.01
76,7,doubleSharp,rigid,0.0001,0.00011,0.1
77,7,doubleSharp,rigid,0.001,0.001,0
78,7,doubleSharp,rigid,0.001,0.001001,0.001
79,7,doubleSharp,rigid,0.001,0.00101,0.01
80,7,doubleSharp,rigid,0.001,0.0011,0.1
81,7,doubleSharp,rigid,0.01,0.01,0
82,7,doubleSharp,rigid,0.01,0.01001,0.001
83,7,doubleSharp,rigid,0.01,0.0101,0.01
84,7,doubleSharp,rigid,0.01,0.011,0.1
85,8,doubleSharp,free,0.0001,0.0001,0
86,8,doubleSharp,free,0.0001,0.0001001,0.001
87,8,doubleSharp,free,0.0001,0.000101,0.01
88,8,doubleSharp,free,0.0001,0.00011,0.1
89,8,doubleSharp,free,0.001,0.001,0
90,8,doubleSharp,free,0.001,0.001001,0.001
91,8,doubleSharp,free,0.001,0.00101,0.01
92,8,doubleSharp,free,0.001,0.0011,0.1
93,8,doubleSharp,free,0.01,0.01,0
94,8,doubleSharp,free,0.01,0.01001,0.001
95,8,doubleSharp,free,0.01,0.0101,0.01
96,8,doubleSharp,free,0.01,0.011,0.1
