caseId,profile,surface,sourceKappa,requestedKappa,relativeOffset,band,referenceOrder,referenceQualifiedExperimental,referenceEigenChange,referenceSubspaceChange,referenceEquationError,referenceBoundaryError,cutoffRelativeGap,minimumInternalRelativeGap,minimumParticipationFraction,maximumUpperQuarterFraction,baselineEigenError,baselineFrequencyError,baselineSubspaceError,warmFlag,coldFlag,warmOperatorApplications,coldOperatorApplications,warmToFullEigenError,warmToFullSubspaceError,warmToReferenceEigenError,warmToReferenceSubspaceError,warmToReferenceIndividualH1Error,approximateEigenError,approximateFrequencyError,approximateSubspaceError,approximateIndividualH1Error,approximateFError,approximateEquationError,approximateBoundaryError,warmMatchesFull,fallbackRequired,fullSolveSeconds,warmRawSeconds,coldRawSeconds,warmFactorizationSeconds,warmEigensolveSeconds,warmFinalizationSeconds,requestedAssemblySeconds,requestedSelectionSeconds,warmValidationSeconds,referenceSolveSeconds,referenceValidationSeconds,baselineValidationSeconds,neighborAcquisitionSeconds,warmWithValidationAndFallbackSeconds,warmWithAllReferenceSeconds,analyticAvailable,analyticEigenError,analyticSubspaceError,productionQualification
1,constant,rigid,0.0001,0.0001,0,8,144,1,2.11090861402077e-11,3.00661807933222e-11,7.48129892359914e-10,1.24096195580847e-14,0.209873917942573,0.121093270729573,0.668509202276424,0.378892346772217,5.76300249533701e-11,2.62240333127849e-11,2.97370373524991e-11,0,0,49,49,1.54160906641585e-11,5.54478397418412e-13,4.22139342901e-11,2.97603046760592e-11,2.80425394524438e-11,5.76300249533701e-11,2.62240333127849e-11,2.97370373524991e-11,2.80297564750896e-11,5.86707385454536e-11,1.64437602028255e-11,4.25479376365731e-16,1,0,0.0875746180555556,0.0811505,0.0275217083333333,0.0247217083333333,0.0423228333333333,0.0139408333333333,0.002075,0.00298216666666667,0.0607662083333333,0.0490295555555556,0.398377916666667,0.0477798333333333,0.0875746180555556,0.146973875,0.729735798611111,1,4.21808321513076e-11,2.97884936469151e-11,0
1,constant,rigid,0.0001,0.0001,0,16,144,1,2.11090861402077e-11,4.22642169043514e-12,7.48129892359914e-10,1.24096195580847e-14,0.114186450882448,0.121093270729573,0.667455860230684,0.378892346772217,5.76300249533701e-11,2.62240333127849e-11,4.1577780121533e-12,0,0,49,49,1.54160906641585e-11,3.51176823993862e-13,4.22139342901e-11,4.11316785858673e-12,6.56099319806512e-10,5.76300249533701e-11,2.62240333127849e-11,4.1577780121533e-12,6.56099098256202e-10,6.56346375054178e-10,1.64437602028255e-11,4.25479376365731e-16,1,0,0.0875746180555556,0.0811505,0.0275217083333333,0.0247217083333333,0.0423228333333333,0.0139408333333333,0.002075,0.00298216666666667,0.0607662083333333,0.0490295555555556,0.398377916666667,0.0477798333333333,0.0875746180555556,0.146973875,0.729735798611111,1,4.21808321513076e-11,4.11408860759974e-12,0
2,constant,rigid,0.0001,0.0001001,0.001,8,144,1,6.64652983614741e-11,2.16495912642956e-11,9.78194282984521e-10,1.18993670710531e-14,0.209873912688166,0.121093269770776,0.66850920227656,0.378892346769109,5.14502436254748e-11,2.34161553950126e-11,2.18041144597504e-11,0,0,49,49,1.27316989035462e-11,1.2794221285947e-12,3.87185447225837e-11,2.15713873488747e-11,2.18679434991994e-11,2.02543477424934e-06,9.21819453699881e-07,2.15504062285281e-11,2.18352110214811e-11,2.02543882693062e-06,1.01269905383204e-06,4.25479376365731e-16,1,0,0.0212574097222222,0.0146603333333333,0.00967645833333333,0.0005155,0.00695258333333333,0.00713320833333333,0.00168295833333333,0.00161066666666667,0.0271599583333333,0.0388000972222222,0.144222,0.017977375,0.0875746180555556,0.0451139166666667,0.267370798611111,1,3.86864735109743e-11,2.15761868025752e-11,0
2,constant,rigid,0.0001,0.0001001,0.001,16,144,1,6.64652983614741e-11,4.82101346448661e-12,9.78194282984521e-10,1.18993670710531e-14,0.114186450081112,0.121093269770776,0.667455860230694,0.378892346769109,5.14502436254748e-11,2.34161553950126e-11,5.057325412678e-12,0,0,49,49,1.27316989035462e-11,4.06841653218705e-13,3.87185447225837e-11,4.88983400256618e-12,6.56099773288093e-10,2.02543477424934e-06,9.21819453699881e-07,4.98918794516781e-12,6.56099373708368e-10,2.02543882693062e-06,1.01269905383204e-06,4.25479376365731e-16,1,0,0.0212574097222222,0.0146603333333333,0.00967645833333333,0.0005155,0.00695258333333333,0.00713320833333333,0.00168295833333333,0.00161066666666667,0.0271599583333333,0.0388000972222222,0.144222,0.017977375,0.0875746180555556,0.0451139166666667,0.267370798611111,1,3.86864735109743e-11,4.90629633818217e-12,0
3,constant,rigid,0.0001,0.000101,0.01,8,144,1,1.77913965842526e-11,4.85088429924346e-12,7.28433550593312e-10,1.11786638345749e-14,0.209873865174233,0.121093261096381,0.66850920227671,0.378892346763413,1.76976439502943e-11,5.36442583305748e-12,4.39872727032964e-12,0,0,49,49,1.94792398312278e-11,7.81590279371215e-13,1.79585208447869e-11,4.49950089706795e-12,9.9979733709353e-11,2.03445379711473e-05,9.27412726749234e-06,4.53372710876505e-12,1.00455821147557e-10,2.03449518264607e-05,1.01723763176334e-05,4.25479376365731e-16,1,0,0.0201087847222222,0.006713125,0.006169375,0.00051425,0.002317875,0.00382670833333333,0.00169725,0.00169854166666667,0.03452375,0.0352071388888889,0.13381225,0.018014875,0.0875746180555556,0.0446326666666667,0.251775715277778,1,1.79913342663487e-11,4.50213696163023e-12,0
3,constant,rigid,0.0001,0.000101,0.01,16,144,1,1.77913965842526e-11,3.82389679458246e-12,7.28433550593312e-10,1.11786638345749e-14,0.11418644283562,0.121093261096381,0.667455860230689,0.378892346763413,1.76976439502943e-11,5.36442583305748e-12,3.59689664394481e-12,0,0,49,49,1.94792398312278e-11,3.33906650498458e-13,1.79585208447869e-11,3.52519893757545e-12,6.56097157755747e-10,2.03445379711473e-05,9.27412726749234e-06,3.57776624518979e-12,6.56096952809429e-10,2.03449518264607e-05,1.01723763176334e-05,4.25479376365731e-16,1,0,0.0201087847222222,0.006713125,0.006169375,0.00051425,0.002317875,0.00382670833333333,0.00169725,0.00169854166666667,0.03452375,0.0352071388888889,0.13381225,0.018014875,0.0875746180555556,0.0446326666666667,0.251775715277778,1,1.79913342663487e-11,3.51264786141832e-12,0
4,constant,rigid,0.0001,0.00011,0.1,8,144,1,2.68902484608533e-11,5.18621000836961e-12,9.11652257531344e-10,1.21657632874823e-14,0.209873366643653,0.121093170083709,0.668509202276706,0.378892346775965,2.58677127234981e-11,9.75106748740616e-12,5.34298629699225e-12,0,0,49,49,1.74442127430989e-12,4.30389223242809e-13,2.57879363673498e-11,5.32642418980872e-12,1.06667072716633e-10,0.000212513955375288,9.8249777904411e-05,5.23221203440057e-12,1.06879001621069e-10,0.000212559127105724,0.00010626827268167,4.25479376365731e-16,1,0,0.0206777013888889,0.00755375,0.005247375,0.000517208333333333,0.00169341666666667,0.00528770833333333,0.00197195833333333,0.00159116666666667,0.0275119583333333,0.0313560138888889,0.149221,0.0191610416666667,0.0875746180555556,0.0386288333333333,0.259044590277778,1,2.58227812118972e-11,5.33056937554604e-12,0
4,constant,rigid,0.0001,0.00011,0.1,16,144,1,2.68902484608533e-11,3.65223652362505e-12,9.11652257531344e-10,1.21657632874823e-14,0.114186366813561,0.121093170083709,0.667455860230748,0.378892346775965,2.58677127234981e-11,9.75106748740616e-12,3.74186100860714e-12,0,0,49,49,1.74442127430989e-12,3.69052652005871e-13,2.57879363673498e-11,3.6522701371866e-12,6.56098885357329e-10,0.000212513955375288,9.8249777904411e-05,3.71139132118205e-12,6.56098637879121e-10,0.000212559127105724,0.00010626827268167,4.25479376365731e-16,1,0,0.0206777013888889,0.00755375,0.005247375,0.000517208333333333,0.00169341666666667,0.00528770833333333,0.00197195833333333,0.00159116666666667,0.0275119583333333,0.0313560138888889,0.149221,0.0191610416666667,0.0875746180555556,0.0386288333333333,0.259044590277778,1,2.58227812118972e-11,3.65393023238602e-12,0
5,constant,rigid,0.001,0.001,0,8,144,1,5.10655926686353e-11,5.8818698430403e-12,5.85265612872279e-10,1.42456173161852e-14,0.209614341072513,0.121045841765853,0.668509202276619,0.378892346770542,5.08507137817958e-11,2.53976971788595e-11,5.58749917005283e-12,0,0,49,49,1.12453284118355e-11,5.32117245875786e-13,3.96053853705321e-11,5.71167414963791e-12,2.65392924511158e-11,5.08507137817958e-11,2.53976971788595e-11,5.58749917005283e-12,2.65649039290633e-11,5.29340010914778e-11,1.4703852888161e-11,3.45293724471588e-16,1,0,0.0257606180555556,0.0224247083333333,0.01738075,0.000673125,0.00223445833333333,0.0194496666666667,0.00214241666666667,0.00194620833333333,0.0241907083333333,0.0444489722222222,0.131840041666667,0.019375,0.0257606180555556,0.0507040416666667,0.272128673611111,1,3.95774844313655e-11,5.71277700176703e-12,0
5,constant,rigid,0.001,0.001,0,16,144,1,5.10655926686353e-11,4.68633585572888e-12,5.85265612872279e-10,1.42456173161852e-14,0.114146832207042,0.121045841765853,0.667455860230709,0.378892346770542,5.08507137817958e-11,2.53976971788595e-11,4.6562131663837e-12,0,0,49,49,1.12453284118355e-11,3.26998958071421e-13,3.96053853705321e-11,4.71058570040909e-12,6.56097218320647e-10,5.08507137817958e-11,2.53976971788595e-11,4.6562131663837e-12,6.56097495642489e-10,6.55987180776329e-10,1.4703852888161e-11,3.45293724471588e-16,1,0,0.0257606180555556,0.0224247083333333,0.01738075,0.000673125,0.00223445833333333,0.0194496666666667,0.00214241666666667,0.00194620833333333,0.0241907083333333,0.0444489722222222,0.131840041666667,0.019375,0.0257606180555556,0.0507040416666667,0.272128673611111,1,3.95774844313655e-11,4.69138161828861e-12,0
